label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
aHV_P03172_001,0.029226291,447,473,-0.437501938,348,479,-0.204137823,0.233364114
aHV_P03172_002,-0.108731819,791,921,0.04620772,894,880,-0.031262049,0.077469769
aHV_P03172_003,0.185622314,732,695,0.189493596,745,664,0.187557955,0.001935641
aHV_P03172_004,-0.117538914,1143,1339,0.181713077,1434,1285,0.032087081,0.149625995
aHV_P03172_005,0.214759563,489,455,-0.602566773,335,517,-0.193903605,0.408663168
aHV_P03172_006,0.369878864,73,61,0.511101712,129,92,0.440490288,0.070611424
aHV_P03172_007,0.129932157,607,599,0.354576497,707,562,0.242254327,0.11232217
aHV_P03172_008,-0.323104883,114,154,0.034243167,134,133,-0.144430858,0.178674025
aHV_P03172_009,-0.519258747,84,130,0.272256959,202,170,-0.123500894,0.395757853
aHV_P03172_010,-0.020768061,398,436,0.465361601,686,505,0.22229677,0.243064831
aHV_P03172_011,-0.353714532,774,1068,-0.532082311,726,1067,-0.442898422,0.089183889
aHV_P03172_012,-0.214449186,261,327,0.5777487,326,222,0.181649757,0.396098943
aHV_P03172_013,-0.122838124,950,1117,0.06627261,1128,1095,-0.028282757,0.094555367
aHV_P03172_014,0.206954371,946,885,0.109567834,880,829,0.158261103,0.048693269
aHV_P03172_015,0.150789711,512,498,-0.454610885,364,507,-0.151910587,0.302700298
aHV_P03172_016,-0.038103779,883,979,-0.365812406,762,998,-0.201958092,0.163854313
aHV_P03172_017,-0.252623353,569,732,0.243059744,694,596,-0.004781804,0.247841549
aHV_P03172_018,0.118645201,921,916,0.004114315,890,902,0.061379758,0.057265443
aHV_P03172_019,-0.35869364,507,702,-0.130243259,516,574,-0.24446845,0.114225191
aHV_P03172_020,-0.332199918,345,469,-0.010246714,508,520,-0.171223316,0.160976602
aHV_P03172_021,-0.015874517,741,809,0.067491592,665,645,0.025808538,0.041683055
aHV_P03172_022,0.147785851,711,693,0.016113071,786,790,0.081949461,0.06583639
aHV_P03172_023,-0.209278506,777,970,-0.376339899,689,909,-0.292809202,0.083530697
aHV_P03172_024,-0.332095639,590,802,-0.150188758,649,732,-0.241142199,0.090953441
aHV_P03172_025,-0.269678108,623,811,-0.158341932,633,718,-0.21401002,0.055668088
aHV_P03172_026,-0.264802075,1066,1383,-0.305871213,975,1225,-0.285336644,0.020534569
aHV_P03172_027,0.016618248,593,633,-0.840908488,390,710,-0.41214512,0.428763368
aHV_P03172_028,-0.549297428,555,877,-0.510779273,569,824,-0.53003835,0.019259078
aHV_P03172_029,0.073115438,1285,1319,0.068915199,1289,1249,0.071015318,0.002100119
aHV_P03172_030,-0.108064933,1459,1698,-0.298268511,1293,1616,-0.203166722,0.095101789
aHV_P03172_031,-0.48780886,737,1116,0.162428018,1067,969,-0.162690421,0.325118439
aHV_P03172_032,0.290777993,1313,1159,-0.294454556,1002,1249,-0.001838282,0.292616275
aHV_P03172_033,-0.138707283,1642,1952,-0.043024478,1506,1577,-0.09086588,0.047841402
aHV_P03247_001,-0.101476561,1716,1988,-0.114212186,1808,1989,-0.107844374,0.006367813
aHV_P03495_001,-0.376353701,839,1176,-0.264414314,951,1161,-0.320384008,0.055969694
aHV_P03495_002,0.356722083,1895,1598,0.429411289,2063,1557,0.393066686,0.036344603
aHV_P03495_003,-0.096241142,661,763,-0.2097962,644,757,-0.153018671,0.056777529
aHV_P03495_004,0.105304017,1312,1317,0.32874702,1489,1205,0.217025519,0.111721501
aHV_P03495_005,0.503492812,705,537,0.830791334,896,512,0.667142073,0.163649261
aHV_P03495_006,0.57586002,577,418,0.771547094,823,490,0.673703557,0.097843537
aHV_P03495_007,-0.126356032,403,475,0.136053976,546,505,0.004848972,0.131205004
aHV_P03495_008,-0.106285472,505,587,0.289645066,546,454,0.091679797,0.197965269
aHV_P03495_009,-0.317629023,1073,1444,-0.253865919,1090,1321,-0.285747471,0.031881552
aHV_P03495_010,-0.25763789,1447,1868,0.096795463,1775,1687,-0.080421213,0.177216677
aHV_P03495_011,-0.040438198,1493,1658,-0.022084492,1435,1481,-0.031261345,0.009176853
aHV_P03495_012,-0.061075075,1320,1487,-0.027957896,1489,1543,-0.044516485,0.016558589
aHV_P03495_013,-0.073421915,1094,1243,0.22881397,1447,1255,0.077696027,0.151117943
aHV_P03495_014,-0.297337487,1413,1875,-0.188314511,1594,1846,-0.242825999,0.054511488
aHV_P03495_015,0.038111677,929,977,0.111663595,944,888,0.074887636,0.036775959
aHV_P03495_016,-0.335440478,549,748,-0.315791483,630,797,-0.325615981,0.009824497
aHV_P03495_017,-0.000897314,1056,1141,0.064043729,1189,1156,0.031573208,0.032470522
aHV_P04288_001,-0.016080907,2687,2934,0.004541238,3110,3151,-0.005769834,0.010311072
aHV_P04288_002,-0.068091534,553,626,-0.055395065,641,677,-0.061743299,0.006348234
aHV_P04288_003,0.080001251,1947,1989,-0.230384815,1440,1717,-0.075191782,0.155193033
aHV_P04288_004,-0.039646705,3321,3686,-0.16360169,3287,3742,-0.101624197,0.061977492
aHV_P04288_005,0.355972037,1574,1328,-0.065626756,1272,1353,0.14517264,0.210799397
aHV_P04288_006,-0.065679825,3005,3396,-0.204335137,2830,3314,-0.135007481,0.069327656
aHV_P04288_007,-0.217797687,1599,2008,0.28773875,2049,1706,0.034970531,0.252768219
aHV_P04288_008,-0.187402953,1189,1462,-0.142620772,1328,1490,-0.165011862,0.022391091
aHV_P04288_009,0.194120027,1960,1850,-0.040976765,1774,1855,0.076571631,0.117548396
aHV_P04288_010,-0.233493083,2779,3528,-0.035010925,3362,3501,-0.134252004,0.099241079
aHV_P04288_011,-0.047156348,2446,2729,-0.114898716,2365,2603,-0.081027532,0.033871184
aHV_P04288_012,-0.282622803,2504,3289,-0.014051277,2849,2924,-0.14833704,0.134285763
aHV_P04288_013,-0.081681839,1051,1201,-0.228481961,912,1086,-0.1550819,0.073400061
aHV_P04288_014,0.033673794,1803,1902,0.059857498,1765,1721,0.046765646,0.013091852
aHV_P04288_015,0.025300345,1163,1234,-0.121799305,1218,1347,-0.04824948,0.073549825
aHV_P04288_016,-0.144439919,3059,3651,0.051476312,3325,3261,-0.046481804,0.097958115
aHV_P04288_017,-0.114978759,2072,2423,0.112235701,2295,2158,-0.001371529,0.11360723
aHV_P04288_018,-0.115684969,2318,2712,-0.327485674,2197,2802,-0.221585321,0.105900352
aHV_P04288_019,-0.18958542,1214,1495,0.184182493,1508,1349,-0.002701464,0.186883956
aHV_P04288_020,-0.198809162,1763,2185,-0.11579634,1895,2087,-0.157302751,0.041506411
aHV_P04288_021,-0.105300418,1213,1409,-0.028473179,1201,1245,-0.066886799,0.03841362
aHV_P04288_022,-0.065341475,2087,2358,0.049333381,2136,2098,-0.008004047,0.057337428
aHV_P04288_023,-0.006877121,2024,2196,0.013516398,2174,2189,0.003319638,0.01019676
aHV_P04288_024,-0.148421052,315,377,-0.346513198,325,420,-0.247467125,0.099046073
aHV_P04288_025,-0.02901378,1651,1819,-0.065850317,1488,1583,-0.047432048,0.018418269
aHV_P04288_026,-0.117077429,3080,3607,-0.074738144,3252,3481,-0.095907787,0.021169642
